Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
uebung04.pdf;168297;Timo;Specht;1120;"06.05.2024 10:38";uebung04.pdf
uebung05.pdf;120887;Stefan;Siemer;657;"13.05.2024 10:40";uebung05.pdf
